Date, Time, System Timestamp,Angle Pitch, Angle Roll, Angle Yaw, Pitch Reference, Roll Reference, Yaw Reference, Ang.vel. Pitch, Ang.vel. Roll, Ang.vel. Yaw, Total acc. X, Total acc. Y, Total acc. Z, Trans. acc. X, Trans. acc. Y, Trans. acc. Z, Total acc., Height, dHeight, Height reference, dHeight reference,Latitude, Longitude, Height, Speed x, Speed y, Horizontal accuracy, GPS Status,Battery 1, Battery 2, Status, FlightMode,Pressure, Temp. Gyro, Temp. ADC,Pitch, Roll, Yaw, Thrust,debug1,debug2,debug3,debug4
17.7.2015,28:03.8,0,-1.32,0.235,178.993,-1.215,0.475,178.982,-38,-35,6,-0.021,-0.008,-0.966,-0.007,-0.001,-0.002,0.966,1.53,0,1.492,-0.391,39.680576,-75.7523091,2.67,0,0.01,0.64,-8957,11.864,0,0,7,7,32428,13978,4,-5,0,1,0,0,0,0
17.7.2015,28:03.8,0,-1.29,0.265,178.992,-0.992,0.264,179.032,12,11,37,-0.017,-0.005,-0.965,-0.003,0.003,0,0.965,1.527,0,1.498,0.057,39.680576,-75.7523091,2.67,0,0.01,0.64,-8957,11.866,0,0,7,7,32428,13978,4,-5,0,1,0,0,0,0
17.7.2015,28:04.1,0,-1.227,0.301,178.992,-1.083,0.441,178.762,20,-11,-13,-0.019,-0.008,-0.963,-0.001,0.001,0.003,0.964,1.536,0.005,1.644,1.334,39.680576,-75.7523091,2.67,0,0.01,0.64,-8957,11.866,0,0,7,7,32428,13978,4,-5,0,1,0,0,0,0
17.7.2015,28:04.3,0,-1.246,0.284,178.996,-1.41,0.556,178.872,62,23,44,-0.025,-0.01,-0.965,-0.004,-0.005,-0.001,0.965,1.534,0.002,1.492,-0.093,39.680576,-75.7523091,2.67,0,0.01,0.64,-8957,11.868,0,0,7,7,32428,13978,4,-5,0,1,0,0,0,0
17.7.2015,28:04.6,0,-1.281,0.345,178.995,-1.209,0.412,178.762,-34,44,-7,-0.021,-0.007,-0.966,0.001,0,-0.001,0.966,1.527,0,1.501,0.001,39.6805761,-75.7523093,2.598,0.01,0.01,0.64,-8957,11.866,0,0,7,7,32428,13978,4,-5,0,1,0,0,0,0
17.7.2015,28:04.7,0,-1.18,0.37,178.993,-1.032,0.378,178.652,27,0,-35,-0.018,-0.007,-0.965,0,0,-0.001,0.966,1.527,0,1.507,0.064,39.6805761,-75.7523093,2.598,0.01,0.01,0.64,-8957,11.866,0,0,7,7,32428,13978,4,-5,0,1,0,0,0,0
17.7.2015,28:04.7,0,-1.158,0.349,178.989,-1.129,0.246,178.812,21,33,11,-0.02,-0.004,-0.963,-0.001,0.002,0.001,0.963,1.526,-0.001,1.509,0.058,39.6805761,-75.7523094,2.557,0,0,0.64,-8957,11.863,0,0,7,7,32428,13978,4,-5,0,1,0,0,0,0
17.7.2015,28:04.8,0,-1.158,0.349,178.989,-1.129,0.246,178.812,21,33,11,-0.02,-0.004,-0.963,-0.001,0.002,0.001,0.963,1.526,-0.001,1.509,0.058,39.6805761,-75.7523094,2.557,0,0,0.64,-8957,11.866,0,0,7,7,32428,13978,4,-5,0,1,0,0,0,0
17.7.2015,28:04.8,0,-1.103,0.38,178.993,-0.974,0.401,178.652,29,9,33,-0.017,-0.007,-0.964,0,0,-0.001,0.964,1.532,0.001,1.614,1.06,39.6805761,-75.7523094,2.557,0,0,0.64,-8957,11.863,0,0,7,7,32428,13978,4,-5,0,1,0,0,0,0
17.7.2015,28:04.8,0,-1.103,0.38,178.993,-0.974,0.401,178.652,29,9,33,-0.017,-0.007,-0.964,0,0,-0.001,0.964,1.532,0.001,1.614,1.06,39.6805761,-75.7523094,2.557,0,0,0.64,-8957,11.865,0,0,7,7,32428,13978,4,-5,0,1,0,0,0,0
